Region,Species,LifeStage,Season,maxWaterTemp
Central,Wakasagi,Adult,Spring,23.88888888888889
Central,Wakasagi,Juvenile,Spring,25.555555555555557
Central,Wakasagi,Larvae,Spring,23.333333333333332
Central,Delta Smelt,Adult,Spring,25.555555555555557
Central,Delta Smelt,Juvenile,Spring,27.77777777777778
Central,Delta Smelt,Larvae,Spring,26.666666666666668
Central,Tule Perch,Adult,Spring,22.200000762939453
Central,Tule Perch,Juvenile-Larvae,Spring,25.100000381469727
Central,Hitch,Adult,Spring,14.444444444444445
Central,Hitch,Juvenile-Larvae,Spring,24.5
Central,Mississippi Silverside,Adult,Spring,25.555557250976563
Central,Mississippi Silverside,Juvenile,Spring,28.88888888888889
Central,Largemouth Bass,Adult,Spring,28.333333333333332
Central,Largemouth Bass,Juvenile,Spring,30
Central,Striped Bass,Adult,Spring,26.11111111111111
Central,Striped Bass,Juvenile,Spring,28.88888888888889
Central,Striped Bass,Larvae,Spring,24.440000534057617
Central,Steelhead/Rainbow Trout,Adult,Spring,23.88888888888889
Central,Steelhead/Rainbow Trout,Juvenile,Spring,28.333333333333332
Central,Chinook Salmon,Juvenile,Spring,28.333333333333332
Central,Chinook Salmon,Larvae,Spring,21.666666666666668
Central,Sacramento Blackfish,Adult,Spring,21.666666666666668
Central,Sacramento Blackfish,Juvenile-Larvae,Spring,28.333333333333332
Central,Sacramento Splittail,Adult,Spring,26.11111111111111
Central,Sacramento Splittail,Juvenile,Spring,28.88888888888889
Central,Sacramento Splittail,Larvae,Spring,24.444444444444443
Central,Sacramento Pikeminnow,Adult,Spring,24.444444444444443
Central,Sacramento Pikeminnow,Juvenile-Larvae,Spring,25.700000762939453
Central,Longfin Smelt,Juvenile,Spring,25
Central,Longfin Smelt,Larvae,Spring,24
Confluence,Sacramento Sucker,Juvenile,Spring,25.200000762939453
Confluence,Prickly Sculpin,Adult,Spring,25.5
Confluence,Prickly Sculpin,Juvenile-Larvae,Spring,25.5
Confluence,Threespine Stickleback,Adult,Spring,25.5
Confluence,Threespine Stickleback,Juvenile-Larvae,Spring,25.000001907348633
Confluence,Wakasagi,Juvenile,Spring,24.299999237060547
Confluence,Delta Smelt,Adult,Spring,23.940000534057617
Confluence,Delta Smelt,Juvenile,Spring,24.719999313354492
Confluence,Delta Smelt,Larvae,Spring,23.940000534057617
Confluence,Tule Perch,Adult,Spring,24.444446563720703
Confluence,Tule Perch,Juvenile-Larvae,Spring,25.5
Confluence,Hitch,Adult,Spring,21.200000762939453
Confluence,Hitch,Juvenile-Larvae,Spring,23.100000381469727
Confluence,Mississippi Silverside,Adult,Spring,23.399999618530273
Confluence,Mississippi Silverside,Juvenile,Spring,26.399999618530273
Confluence,Largemouth Bass,Adult,Spring,24.200000762939453
Confluence,Largemouth Bass,Juvenile,Spring,26.399999618530273
Confluence,Striped Bass,Adult,Spring,20.399999618530273
Confluence,Striped Bass,Juvenile,Spring,26.399999618530273
Confluence,Striped Bass,Larvae,Spring,23.200000762939453
Confluence,Steelhead/Rainbow Trout,Juvenile,Spring,18.055557250976563
Confluence,Chinook Salmon,Juvenile,Spring,23.888891220092773
Confluence,Chinook Salmon,Larvae,Spring,18.33333396911621
Confluence,Sacramento Blackfish,Juvenile-Larvae,Spring,22.799999237060547
Confluence,Sacramento Splittail,Adult,Spring,23.333335876464844
Confluence,Sacramento Splittail,Juvenile,Spring,25.5
Confluence,Sacramento Splittail,Larvae,Spring,22.777780532836914
Confluence,Sacramento Pikeminnow,Adult,Spring,22.5
Confluence,Sacramento Pikeminnow,Juvenile-Larvae,Spring,26.111112594604492
Confluence,Longfin Smelt,Adult,Spring,20.549999237060547
Confluence,Longfin Smelt,Juvenile,Spring,23.940000534057617
Confluence,Longfin Smelt,Larvae,Spring,19.100000381469727
North Delta,White Sturgeon,Larvae,Spring,13.199999809265137
North Delta,Sacramento Sucker,Adult,Spring,22.399999618530273
North Delta,Sacramento Sucker,Juvenile,Spring,26.111112594604492
North Delta,Prickly Sculpin,Adult,Spring,26
